id,year,type,weight_lbs
3181,2021,3,12891.6
3182,2021,3,12916.6
3183,2021,5,12941.5
3184,2021,4,12966.4
3185,2021,4,12991.4
3186,2021,3,13016.3
3187,2021,3,13041.2
3188,2021,3,13066.1
3189,2021,3,13091.1
3190,2021,4,13116.0
3191,2021,4,13140.9
3192,2021,4,13165.9
3193,2021,2,13190.8
3194,2021,2,13215.7
3195,2021,3,13240.7
3196,2021,3,13265.6
3197,2021,3,13290.5
3198,2021,4,13315.5
3199,2021,3,13340.4
3200,2021,3,13365.3
3201,2021,3,13390.3
3202,2021,4,13415.2
3203,2021,3,13440.1
3204,2021,4,13465.1
3205,2021,4,13490.0
3206,2021,3,13514.9
3207,2021,4,13539.8
3208,2021,5,13564.8
3209,2021,4,13589.7
3210,2021,1,13614.6
3211,2021,4,13639.6
3212,2021,5,13664.5
3213,2021,3,13689.4
3214,2021,4,13714.4
3215,2021,3,13739.3
3216,2021,3,13764.2
3217,2021,4,13789.2
3218,2021,4,13814.1
3219,2021,3,13839.0
3220,2021,4,13864.0
3221,2021,5,13888.9
3222,2021,4,13913.8
3223,2021,4,13938.8
3224,2021,3,13963.7
3225,2021,3,13988.6
3226,2021,4,14013.5
3227,2021,5,14038.5
3228,2021,3,14063.4
3229,2021,5,14088.3
3230,2021,4,14113.3
3231,2021,3,14138.2
3232,2021,3,14163.1
3233,2021,3,14188.1
3234,2021,3,14213.0
3235,2021,5,14237.9
3236,2021,3,14262.9
3237,2021,5,14287.8
3238,2021,4,14312.7
3239,2021,3,14337.7
3240,2021,5,14362.6
3241,2021,3,14387.5
3242,2021,3,14412.5
3243,2021,3,14437.4
3244,2021,3,14462.3
3245,2021,5,14487.2
3246,2021,3,14512.2
3247,2021,3,14537.1
3248,2021,3,14562.0
3249,2021,4,14587.0
3250,2021,5,14611.9
3251,2021,3,14636.8
3252,2021,4,14661.8
3253,2021,4,14686.7
3254,2021,3,14711.6
3255,2021,3,14736.6
3256,2021,3,14761.5
3257,2021,5,14786.4
3258,2021,3,14811.4
3259,2021,3,14836.3
3260,2021,5,14861.2
3261,2021,5,14886.2
3262,2021,5,14911.1
3263,2021,3,14936.0
3264,2021,5,14960.9
3265,2021,3,14985.9
3266,2021,3,15010.8
3267,2021,5,15035.7
3268,2021,5,15060.7
3269,2021,3,15085.6
3270,2021,3,15110.5
3271,2021,3,15135.5
3272,2021,3,15160.4
3273,2021,4,15185.3
3274,2021,4,15210.3
3275,2021,4,15235.2
3276,2021,3,15260.1
3277,2021,3,15285.1
3278,2021,4,15310.0
3279,2021,3,15334.9
3280,2021,3,15359.9
3281,2021,3,15384.8
3282,2021,3,15409.7
3283,2021,2,15434.6
3284,2021,4,15459.6
3285,2021,4,15484.5
3286,2021,5,15509.4
3287,2021,3,15534.4
3288,2021,4,15559.3
3289,2021,4,15584.2
3290,2021,3,15609.2
3291,2021,3,15634.1
3292,2021,4,15659.0
3293,2021,3,15684.0
3294,2021,3,15708.9
3295,2021,3,15733.8
3296,2021,4,15758.8
3297,2021,4,15783.7
3298,2021,3,15808.6
3299,2021,3,15833.6
3300,2021,4,15858.5
3301,2021,3,15883.4
3302,2021,4,15908.3
